City    Country Date    Latitude    Longitude   Max Temp(f) Humidity    Wind Speed  Cloudiness
0   Nikolskoye  RU  1586068209  59.7    30.79   37.0    59  17.9    0
1   Arraial do Cabo BR  1586068184  -22.97  -42.03  74.97   70  9.17    8
2   Jamestown   US  1586068198  42.1    -79.24  46.99   81  6.93    90
3   N?l?t   LY  1586068264  30.33   10.85   49.87   53  9.17    18
4   Busselton   AU  1586068181  -33.65  115.33  72.0    34  3.53    100
5   Ternate ID  1586068205  0.8 127.4   84.78   69  7.7 96
6   Hermanus    ZA  1586068194  -34.42  19.23   63.0    98  12.03   99
7   Kaputa  ZM  1586068265  -8.47   29.66   70.75   63  2.37    49
8   Deputatsky  RU  1586068265  69.3    139.9   12.69   90  4.29    100
9   Becerril    CO  1586068266  9.7 -73.28  79.59   69  2.37    42
10  Rikitea PF  1586068188  -23.12  -134.97 75.65   75  17.63   4
11  Japura  ID  1586068266  -0.32   102.35  88.29   66  1.74    96
12  Vilcœn  CL  1586068266  -38.65  -72.23  39.2    100 2.24    4
13  Bonthe  SL  1586068266  7.53    -12.51  79.75   88  4.07    6
14  MahŽbourg   MU  1586068200  -20.41  57.7    84.0    74  11.41   75
15  Mehamn  NO  1586068267  71.04   27.85   29.48   90  20.56   99
16  Saint-Philippe  RE  1586068186  -21.36  55.77   84.2    70  19.46   18
17  George Town MY  1586068267  5.41    100.34  91.4    70  10.29   20
18  Esso    RU  1586068268  55.93   158.7   20.82   84  4.56    91
19  Takoradze   GH  1586068268  4.88    -1.76   79.84   82  1.21    91
20  Lamu    KE  1586068004  -2.27   40.9    85.37   68  5.46    28
21  Port Hedland    AU  1586068268  -20.32  118.57  96.8    37  9.17    99
22  Camacha PT  1586068269  33.08   -16.33  64.4    88  11.41   40
23  Lagoa   PT  1586068227  39.05   -27.98  57.34   70  8.32    58
24  Severo -Kuril 'sk RU  1586068183  50.68   156.12  32.36   88  4.45    35
25  Thompson    CA  1586068228  55.74   -97.86  6.8 84  4.7 40
26  Hobart  AU  1586068180  -42.88  147.33  55.4    43  10.29   20
27  Puerto Ayora    EC  1586068211  -0.74   -90.35  77.0    87  1.01    5
28  Ambon City  ID  1586068270  -3.7    128.18  91.4    59  4.7 40
29  Bambous Virieux MU  1586068223  -20.34  57.76   84.0    74  11.41   75
30  Jalu    LY  1586068270  29.03   21.55   61.57   59  14.56   3
31  Tokur   RU  1586068270  53.13   132.9   30.56   70  4.25    56
32  Khani   GE  1586068271  41.96   42.96   57.2    67  8.05    75
33  Kavaratti   IN  1586068271  10.57   72.64   87.8    62  3.36    20
34  Norman Wells    CA  1586068271  65.28   -126.83 17.6    67  5.82    75
35  Noumea  NC  1586068272  -22.28  166.46  84.99   54  11.41   90
36  OmbouŽ  GA  1586068272  -1.57   9.26    75.18   93  7.34    100
37  Palafrugell ES  1586068272  41.92   3.16    54.0    100 4.61    0
38  Manbij  SY  1586068272  36.53   37.95   55.4    62  3.36    75
39  Sur OM  1586068272  22.57   59.53   91.94   25  0.27    24
40  Oodweyne    SO  1586068273  9.41    45.06   76.48   35  12.26   91
41  Sinnamary   GF  1586068273  5.38    -52.95  79.61   80  13.65   96
42  Buedu   SL  1586068273  8.28    -10.37  75.02   85  1.63    56
43  Oranjemund  NA  1586068274  -28.55  16.43   60.62   89  10.07   65
44  Puerto Escondido    MX  1586068274  15.85   -97.07  77.95   70  4.88    30
45  Tura    IN  1586068274  25.52   90.22   93.13   14  6.78    0
46  Korla   CN  1586068274  41.76   86.15   63.72   19  8.86    74
47  Hilo    US  1586068191  19.73   -155.09 73.4    88  5.82    90
48  Bredasdorp  ZA  1586068190  -34.53  20.04   60.8    82  5.82    99
49  French Harbor   HN  1586068275  16.35   -86.43  80.15   81  23.47   1
50  Muroto-misakicho    JP  1586068275  33.28   134.15  60.8    25  19.46   20
51  Dingle  PH  1586068275  11.0    122.67  88.52   52  14.54   3
52  Punta Arenas    CL  1586068179  -53.15  -70.92  39.2    80  28.86   40
53  Dikson  RU  1586068230  73.51   80.55   20.35   97  2.44    100
54  Coahuayana Viejo    MX  1586068276  18.73   -103.68 71.64   54  4.14    2
55  Husavik IS  1586068276  66.04   -17.34  21.2    73  28.86   90
56  Chingirlau  KZ  1586068276  51.09   54.08   52.34   49  12.15   0
57  Aksarayskiy RU  1586068277  46.79   48.01   51.8    66  11.18   28
58  Maxcanœ MX  1586068277  20.58   -89.98  82.4    58  13.87   5
59  Sisimiut    GL  1586068194  66.94   -53.67  13.6    76  4.21    0
60  Verkhoyansk RU  1586068277  67.54   133.38  22.42   94  5.01    100
61  Albany  US  1586068187  42.6    -73.97  50.0    71  8.05    90
62  Bengkulu    ID  1586068088  -3.8    102.27  81.63   74  1.12    100
63  Pacific Grove   US  1586068278  36.62   -121.92 55.4    76  18.03   90
64  San Quint’n MX  1586068278  30.48   -115.95 57.92   77  10.83   12
65  Salacgr?va  LV  1586068278  57.75   24.36   34.0    96  5.01    0
66  Cabo San Lucas  MX  1586068279  22.89   -109.91 71.01   83  7.78    91
67  Carbonia    IT  1586068279  39.17   8.52    51.01   93  8.05    2
68  Fethiye TR  1586068279  36.62   29.12   73.4    40  20.8    75
69  Abu Dhabi   AE  1586068279  24.47   54.37   86.0    48  5.82    100
70  Itarema BR  1586068209  -2.92   -39.92  76.98   91  3.94    100
71  Kieta   PG  1586068184  -6.22   155.63  82.99   72  2.42    59
72  Ipixuna BR  1586068280  -1.76   -48.8   77.0    100 2.24    93
73  Manto   HN  1586068280  14.92   -86.38  68.38   55  1.83    13
74  Lewiston    US  1586068273  44.1    -70.21  39.99   93  3.36    90
75  Saint Paul Harbor   US  1586068214  57.79   -152.41 42.8    56  19.46   1
76  Campbell River  CA  1586068212  50.02   -125.24 39.2    80  4.7 90
77  Yellowknife CA  1586068213  62.46   -114.35 8.6 60  8.05    40
78  Tigil '  RU  1586068281  57.8    158.67  23.47   94  16.24   100
79  Bethel  US  1586067951  41.37   -73.41  48.99   81  3.36    90
80  Kaeo    NZ  1586068227  -35.1   173.78  64.0    67  5.99    61
81  Port Alfred ZA  1586068187  -33.59  26.89   66.99   87  4.0 10
82  Roald   NO  1586068282  62.58   6.13    42.01   86  12.75   100
83  Luwuk   ID  1586068282  -0.95   122.79  85.37   69  4.63    75
84  Bluff   NZ  1586068194  -46.6   168.33  62.01   75  4.0 100
85  Ati TD  1586068283  13.22   18.34   90.45   27  6.35    70
86  Knyaze-Volkonskoye  RU  1586068283  48.46   135.46  46.4    39  15.66   7
87  Mataura NZ  1586068211  -46.19  168.86  62.01   76  4.0 98
